month,revenue,invoices,identified_customers,revenue_per_invoice
2010-12,768842.13,1539,883,499.57
2011-01,575820.5,1067,735,539.66
2011-02,506376.3,1087,755,465.85
2011-03,682007.7,1431,971,476.6
2011-04,503368.84,1222,847,411.92
2011-05,734322.51,1652,1052,444.51
2011-06,730177.75,1511,986,483.24
2011-07,682720.48,1442,943,473.45
2011-08,717771.45,1333,930,538.46
2011-09,1019243.96,1805,1253,564.68
2011-10,1070957.13,1984,1354,539.8
2011-11,1441675.06,2731,1655,527.89
2011-12,444077,809,610,548.92
