stock_code,description,revenue,units,invoices
22423,REGENCY CAKESTAND 3 TIER,170267.64,13509,1948
85123A,WHITE HANGING HEART T-LIGHT HOLDER,99941.43,35409,2253
47566,PARTY BUNTING,98614.83,18091,1675
85099B,JUMBO BAG RED RETROSPOT,92601.23,47490,2078
23084,RABBIT NIGHT LIGHT,66807.63,30709,991
22086,PAPER CHAIN KIT 50'S CHRISTMAS,63834.94,18922,1152
84879,ASSORTED COLOUR BIRD ORNAMENT,58878.61,36333,1452
79321,CHILLI LIGHTS,53761.61,10225,658
22197,SMALL POPCORN HOLDER,51171.77,56676,1389
22502,PICNIC BASKET WICKER SMALL,51064.17,1869,460
